client_id,city,region,zip_code,registration_channel
CL00001,Люберцы,Москва и МО,159470,VK
CL00002,Люберцы,Московская область,199871,VK
CL00003,Мытищи,Московская область,139117,VK
CL00004,Подольск,Москва и МО,121174,VK
CL00005,Красногорск,Москва и МО,114662,INTERNET
CL00006,Люберцы,Москва и МО,131571,VK
CL00007,Мытищи,Московская область,109071,VK
CL00008,Подольск,Московская область,172063,VK
CL00009,Люберцы,Москва и МО,179507,INTERNET
CL00010,Химки,Московская область,198994,VK
CL00011,Люберцы,Москва и МО,188039,INTERNET
CL00012,Королёв,Московская область,159177,VK
CL00013,Химки,Москва и МО,144313,VK
CL00014,Химки,Москва и МО,100942,VK
CL00015,Москва,Москва и МО,104117,INTERNET
CL00016,Мытищи,Москва и МО,136500,INTERNET
CL00017,Химки,Москва и МО,194811,INTERNET
CL00018,Химки,Московская область,153354,VK
CL00019,Мытищи,Москва и МО,156498,INTERNET
CL00020,Реутов,Москва и МО,195561,VK
CL00021,Мытищи,Москва и МО,195448,INTERNET
CL00022,Мытищи,Москва и МО,124931,INTERNET
CL00023,Подольск,Москва и МО,136509,INTERNET
CL00024,Химки,Московская область,109880,INTERNET
CL00025,Мытищи,Москва и МО,170855,VK
CL00026,Мытищи,Московская область,130982,VK
CL00027,Реутов,Москва и МО,128016,INTERNET
CL00028,Москва,Москва и МО,100282,INTERNET
CL00029,Люберцы,Московская область,159638,INTERNET
CL00030,Реутов,Московская область,195748,INTERNET
CL00031,Подольск,Москва и МО,128534,VK
CL00032,Москва,Московская область,107492,VK
CL00033,Королёв,Москва и МО,169615,VK
CL00034,Москва,Московская область,110500,VK
CL00035,Мытищи,Москва и МО,188501,VK
CL00036,Реутов,Москва и МО,174668,VK
CL00037,Москва,Московская область,154948,INTERNET
CL00038,Люберцы,Москва и МО,193872,INTERNET
CL00039,Химки,Москва и МО,117154,INTERNET
CL00040,Королёв,Москва и МО,198548,VK
CL00041,Москва,Москва и МО,173792,VK
CL00042,Мытищи,Москва и МО,166307,INTERNET
CL00043,Подольск,Московская область,109016,VK
CL00044,Красногорск,Москва и МО,157433,INTERNET
CL00045,Москва,Московская область,172692,INTERNET
CL00046,Мытищи,Московская область,117601,INTERNET
CL00047,Мытищи,Московская область,197310,VK
CL00048,Люберцы,Москва и МО,127607,INTERNET
CL00049,Химки,Московская область,134600,INTERNET
CL00050,Люберцы,Московская область,106658,VK
CL00051,Реутов,Московская область,105778,VK
CL00052,Красногорск,Московская область,183507,INTERNET
CL00053,Подольск,Московская область,172309,INTERNET
CL00054,Москва,Москва и МО,190573,VK
CL00055,Москва,Московская область,176350,VK
CL00056,Реутов,Москва и МО,140404,INTERNET
CL00057,Москва,Московская область,127535,VK
CL00058,Мытищи,Москва и МО,173385,INTERNET
CL00059,Подольск,Московская область,131029,VK
CL00060,Подольск,Московская область,103248,VK
CL00061,Красногорск,Московская область,153964,VK
CL00062,Люберцы,Москва и МО,191917,VK
CL00063,Реутов,Московская область,161694,VK
CL00064,Химки,Московская область,160332,INTERNET
CL00065,Люберцы,Московская область,129831,VK
