date,expense_type,channel,amount
2018-03-01,Реклама,VK+Internet,9951.36649146818
2018-03-01,Доставка,All,5264.014526389229
2018-03-01,Эквайринг,Internet,3775.625
2018-04-01,Реклама,VK+Internet,9216.680637533666
2018-04-01,Доставка,All,5655.817626148003
2018-04-01,Эквайринг,Internet,3919.6875
2018-05-01,Реклама,VK+Internet,9651.478020006773
2018-05-01,Доставка,All,5080.594462454879
2018-05-01,Эквайринг,Internet,4418.125
2018-06-01,Реклама,VK+Internet,10870.455610923123
2018-06-01,Доставка,All,5423.208924616082
2018-06-01,Эквайринг,Internet,2773.125
2018-07-01,Реклама,VK+Internet,9894.306509522892
2018-07-01,Доставка,All,4109.704445714587
2018-07-01,Эквайринг,Internet,2624.375
2018-08-01,Реклама,VK+Internet,10728.095360710679
2018-08-01,Доставка,All,4935.049685490664
2018-08-01,Эквайринг,Internet,2836.875
2018-09-01,Реклама,VK+Internet,8769.747906355778
2018-09-01,Доставка,All,5343.9480763664415
2018-09-01,Эквайринг,Internet,4654.0625
2018-10-01,Реклама,VK+Internet,8963.853456178764
2018-10-01,Доставка,All,5276.0671265632745
2018-10-01,Эквайринг,Internet,4124.0625
2018-11-01,Реклама,VK+Internet,11500.954296523385
2018-11-01,Доставка,All,5956.282011127823
2018-11-01,Эквайринг,Internet,4614.0625
2018-12-01,Реклама,VK+Internet,9664.750319652485
2018-12-01,Доставка,All,4210.710317581487
2018-12-01,Эквайринг,Internet,3793.125
2019-01-01,Реклама,VK+Internet,9413.752171401085
2019-01-01,Доставка,All,5874.682187384576
2019-01-01,Эквайринг,Internet,3208.125
2019-02-01,Реклама,VK+Internet,9193.04870365546
2019-02-01,Доставка,All,5457.735355848763
2019-02-01,Эквайринг,Internet,2798.75
2019-03-01,Реклама,VK+Internet,9545.340630022709
2019-03-01,Доставка,All,5093.692541840631
2019-03-01,Эквайринг,Internet,4038.75
2019-04-01,Реклама,VK+Internet,11921.282064271818
2019-04-01,Доставка,All,5740.177832740574
2019-04-01,Эквайринг,Internet,3695.0
2019-05-01,Реклама,VK+Internet,9583.422367835235
2019-05-01,Доставка,All,5004.306999053888
2019-05-01,Эквайринг,Internet,4009.6875
2019-06-01,Реклама,VK+Internet,10195.589911523859
2019-06-01,Доставка,All,5515.502746981725
2019-06-01,Эквайринг,Internet,2805.3125
2019-07-01,Реклама,VK+Internet,10984.839186667008
2019-07-01,Доставка,All,5390.793882634901
2019-07-01,Эквайринг,Internet,3378.4375
2019-08-01,Реклама,VK+Internet,11822.91559788213
2019-08-01,Доставка,All,5885.293155608224
2019-08-01,Эквайринг,Internet,3059.375
2019-09-01,Реклама,VK+Internet,10464.295714109216
2019-09-01,Доставка,All,4338.8210724568235
2019-09-01,Эквайринг,Internet,4740.3125
2019-10-01,Реклама,VK+Internet,11887.453325110082
2019-10-01,Доставка,All,5208.141772361599
2019-10-01,Эквайринг,Internet,4823.4375
2019-11-01,Реклама,VK+Internet,11939.919479335
2019-11-01,Доставка,All,5778.987586781476
2019-11-01,Эквайринг,Internet,4690.0
2019-12-01,Реклама,VK+Internet,11015.646166974591
2019-12-01,Доставка,All,5360.361694323137
2019-12-01,Эквайринг,Internet,3709.0625
2020-01-01,Реклама,VK+Internet,11185.256295181407
2020-01-01,Доставка,All,5300.021062431269
2020-01-01,Эквайринг,Internet,4279.375
2020-02-01,Реклама,VK+Internet,11636.310208520397
2020-02-01,Доставка,All,4720.453174164664
2020-02-01,Эквайринг,Internet,3816.875
