date,product_id,stock_before,incoming_rolls,incoming_meters,sold_meters,stock_after
2018-03-01,P0035,60.0,0,0,0.0,60.0
2018-03-01,P0108,30.0,0,0,5.0,25.0
2018-03-01,P0011,30.0,0,0,0.0,30.0
2018-03-01,P0055,30.0,0,0,0.0,30.0
2018-03-01,P0095,30.0,0,0,0.0,30.0
2018-03-01,P0038,60.0,0,0,0.0,60.0
2018-03-01,P0101,60.0,0,0,0.0,60.0
2018-03-01,P0092,60.0,0,0,2.5,57.5
2018-03-01,P0045,60.0,0,0,0.0,60.0
2018-03-01,P0096,60.0,0,0,0.0,60.0
2018-03-01,P0061,60.0,0,0,1.0,59.0
2018-03-01,P0059,30.0,0,0,5.0,25.0
2018-03-01,P0087,30.0,0,0,0.0,30.0
2018-03-01,P0043,60.0,0,0,0.0,60.0
2018-03-01,P0068,60.0,0,0,0.0,60.0
2018-03-01,P0110,30.0,0,0,0.0,30.0
2018-03-01,P0023,30.0,0,0,0.0,30.0
2018-03-01,P0062,60.0,0,0,0.0,60.0
2018-03-01,P0098,30.0,0,0,0.0,30.0
2018-03-01,P0054,60.0,0,0,0.0,60.0
2018-03-01,P0014,60.0,0,0,0.0,60.0
2018-03-01,P0075,60.0,0,0,2.0,58.0
2018-03-01,P0112,30.0,0,0,0.0,30.0
2018-03-01,P0037,60.0,0,0,0.0,60.0
2018-03-01,P0048,30.0,0,0,0.0,30.0
2018-03-01,P0077,60.0,0,0,0.0,60.0
2018-03-01,P0064,30.0,0,0,0.0,30.0
2018-03-01,P0091,30.0,0,0,0.0,30.0
2018-03-01,P0049,30.0,0,0,0.0,30.0
2018-03-01,P0081,30.0,0,0,2.5,27.5
2018-03-01,P0093,60.0,0,0,0.0,60.0
2018-03-01,P0088,30.0,0,0,0.0,30.0
2018-03-01,P0025,60.0,0,0,0.0,60.0
2018-03-01,P0030,60.0,0,0,0.0,60.0
2018-03-01,P0010,30.0,0,0,0.0,30.0
2018-03-01,P0022,30.0,0,0,0.0,30.0
2018-03-01,P0073,30.0,0,0,0.0,30.0
2018-03-01,P0089,60.0,0,0,1.5,58.5
2018-03-01,P0082,30.0,0,0,0.0,30.0
2018-03-01,P0041,60.0,0,0,0.0,60.0
2018-03-01,P0060,60.0,0,0,0.0,60.0
2018-03-01,P0076,60.0,0,0,0.0,60.0
2018-03-01,P0001,60.0,0,0,0.0,60.0
2018-03-01,P0012,30.0,0,0,5.0,25.0
2018-03-01,P0052,30.0,0,0,0.0,30.0
2018-03-01,P0071,60.0,0,0,0.0,60.0
2018-03-01,P0021,30.0,0,0,0.0,30.0
2018-03-01,P0006,30.0,0,0,0.0,30.0
2018-03-01,P0078,60.0,0,0,0.5,59.5
2018-03-01,P0103,30.0,0,0,0.0,30.0
2018-03-01,P0069,60.0,0,0,0.0,60.0
2018-03-01,P0019,30.0,0,0,0.0,30.0
2018-03-01,P0079,30.0,0,0,0.0,30.0
2018-03-01,P0007,30.0,0,0,0.0,30.0
2018-03-01,P0085,30.0,0,0,0.0,30.0
2018-03-01,P0018,60.0,0,0,0.0,60.0
2018-03-01,P0044,30.0,0,0,0.0,30.0
2018-03-01,P0120,30.0,0,0,0.0,30.0
2018-03-01,P0033,60.0,0,0,0.0,60.0
2018-03-01,P0118,30.0,0,0,3.0,27.0
2018-03-01,P0031,60.0,0,0,0.0,60.0
2018-03-01,P0100,30.0,0,0,0.0,30.0
2018-03-01,P0051,60.0,0,0,2.0,58.0
2018-03-01,P0084,30.0,0,0,0.5,29.5
2018-03-01,P0111,30.0,0,0,0.0,30.0
2018-03-01,P0086,60.0,0,0,0.0,60.0
2018-03-01,P0070,60.0,0,0,0.0,60.0
2018-03-01,P0032,60.0,0,0,5.0,55.0
2018-03-01,P0116,30.0,0,0,0.0,30.0
2018-03-01,P0058,30.0,0,0,1.5,28.5
