product_id,country,color,pattern,price_per_meter,cost_per_meter,active
P0001,China,белый,полосы,275.0,123.75,True
P0002,China,белый,горох,275.0,123.75,True
P0003,China,белый,мишки,275.0,123.75,True
P0004,China,белый,пони,275.0,123.75,True
P0005,China,белый,большие цветы,275.0,123.75,True
P0006,China,белый,маленькие цветы,275.0,123.75,True
P0007,China,голубой,полосы,275.0,123.75,True
P0008,China,голубой,горох,275.0,123.75,True
P0009,China,голубой,мишки,275.0,123.75,True
P0010,China,голубой,пони,275.0,123.75,True
P0011,China,голубой,большие цветы,275.0,123.75,True
P0012,China,голубой,маленькие цветы,275.0,123.75,True
P0013,China,розовый,однотон,275.0,123.75,True
P0014,China,розовый,полосы,275.0,123.75,True
P0015,China,розовый,горох,275.0,123.75,True
P0016,China,розовый,мишки,275.0,123.75,True
P0017,China,розовый,пони,275.0,123.75,True
P0018,China,розовый,большие цветы,275.0,123.75,True
P0019,China,розовый,маленькие цветы,275.0,123.75,True
P0020,China,ментоловый,полосы,275.0,123.75,True
P0021,China,ментоловый,горох,275.0,123.75,True
P0022,China,ментоловый,мишки,275.0,123.75,True
P0023,China,ментоловый,пони,275.0,123.75,True
P0024,China,ментоловый,большие цветы,275.0,123.75,True
P0025,China,ментоловый,маленькие цветы,275.0,123.75,True
P0026,China,зеленый,однотон,275.0,123.75,True
P0027,China,зеленый,полосы,275.0,123.75,True
P0028,China,зеленый,горох,275.0,123.75,True
P0029,China,зеленый,мишки,275.0,123.75,True
P0030,China,зеленый,пони,275.0,123.75,True
P0031,China,зеленый,большие цветы,275.0,123.75,True
P0032,China,зеленый,маленькие цветы,275.0,123.75,True
P0033,China,бежевый,полосы,275.0,123.75,True
P0034,China,бежевый,горох,275.0,123.75,True
P0035,China,бежевый,мишки,275.0,123.75,True
P0036,China,бежевый,пони,275.0,123.75,True
P0037,China,бежевый,большие цветы,275.0,123.75,True
P0038,China,бежевый,маленькие цветы,275.0,123.75,True
P0039,China,серый,полосы,275.0,123.75,True
P0040,China,серый,горох,275.0,123.75,True
P0041,China,серый,мишки,275.0,123.75,True
P0042,China,серый,пони,275.0,123.75,True
P0043,China,серый,большие цветы,275.0,123.75,True
P0044,China,серый,маленькие цветы,275.0,123.75,True
P0045,China,светло-серый,полосы,275.0,123.75,True
P0046,China,светло-серый,горох,275.0,123.75,True
P0047,China,светло-серый,мишки,275.0,123.75,True
P0048,China,светло-серый,пони,275.0,123.75,True
P0049,China,светло-серый,большие цветы,275.0,123.75,True
P0050,China,светло-серый,маленькие цветы,275.0,123.75,True
P0051,Turkey,белый,однотон,375.0,168.75,True
P0052,Turkey,белый,полосы,375.0,168.75,True
P0053,Turkey,белый,горох,375.0,168.75,True
P0054,Turkey,белый,мишки,375.0,168.75,True
P0055,Turkey,белый,пони,375.0,168.75,True
P0056,Turkey,белый,большие цветы,375.0,168.75,True
P0057,Turkey,белый,маленькие цветы,375.0,168.75,True
P0058,Turkey,кремовый,однотон,375.0,168.75,True
P0059,Turkey,кремовый,полосы,375.0,168.75,True
P0060,Turkey,кремовый,горох,375.0,168.75,True
P0061,Turkey,кремовый,мишки,375.0,168.75,True
P0062,Turkey,кремовый,пони,375.0,168.75,True
P0063,Turkey,кремовый,большие цветы,375.0,168.75,True
P0064,Turkey,кремовый,маленькие цветы,375.0,168.75,True
P0065,Turkey,фиалковый,полосы,375.0,168.75,True
P0066,Turkey,фиалковый,горох,375.0,168.75,True
P0067,Turkey,фиалковый,мишки,375.0,168.75,True
P0068,Turkey,фиалковый,пони,375.0,168.75,True
P0069,Turkey,фиалковый,большие цветы,375.0,168.75,True
P0070,Turkey,фиалковый,маленькие цветы,375.0,168.75,True
P0071,Turkey,шалфейный,однотон,375.0,168.75,True
P0072,Turkey,шалфейный,полосы,375.0,168.75,True
P0073,Turkey,шалфейный,горох,375.0,168.75,True
P0074,Turkey,шалфейный,мишки,375.0,168.75,True
P0075,Turkey,шалфейный,пони,375.0,168.75,True
P0076,Turkey,шалфейный,большие цветы,375.0,168.75,True
P0077,Turkey,шалфейный,маленькие цветы,375.0,168.75,True
P0078,Turkey,мятный,полосы,375.0,168.75,True
P0079,Turkey,мятный,горох,375.0,168.75,True
P0080,Turkey,мятный,мишки,375.0,168.75,True
P0081,Turkey,мятный,пони,375.0,168.75,True
P0082,Turkey,мятный,большие цветы,375.0,168.75,True
P0083,Turkey,мятный,маленькие цветы,375.0,168.75,True
P0084,Turkey,персиковый,полосы,375.0,168.75,True
P0085,Turkey,персиковый,горох,375.0,168.75,True
P0086,Turkey,персиковый,мишки,375.0,168.75,True
P0087,Turkey,персиковый,пони,375.0,168.75,True
P0088,Turkey,персиковый,большие цветы,375.0,168.75,True
P0089,Turkey,персиковый,маленькие цветы,375.0,168.75,True
P0090,Turkey,песочный,полосы,375.0,168.75,True
P0091,Turkey,песочный,горох,375.0,168.75,True
P0092,Turkey,песочный,мишки,375.0,168.75,True
P0093,Turkey,песочный,пони,375.0,168.75,True
P0094,Turkey,песочный,большие цветы,375.0,168.75,True
