sale_id,date,client_id,city,zip_code,product_id,meters,total_amount,status
IN40279,2018-03-01,CL00297,Подольск,181018,P0115,0.5,187.5,Завершен
IN35312,2018-03-01,CL00158,Подольск,172350,P0081,2.5,937.5,Завершен
IN84714,2018-03-01,CL00346,Красногорск,154381,P0005,2.5,687.5,Завершен
IN83193,2018-03-01,CL00467,Химки,169604,P0118,3.0,1125.0,Завершен
IN23829,2018-03-01,CL01090,Люберцы,175352,P0050,3.0,825.0,Завершен
IN56918,2018-03-01,CL00778,Подольск,157261,P0059,5.0,1875.0,Завершен
IN97194,2018-03-01,CL00877,Москва,126137,P0017,3.0,825.0,Завершен
IN31864,2018-03-01,CL00751,Москва,106637,P0075,2.0,750.0,Завершен
IN47287,2018-03-02,CL00488,Люберцы,190802,P0029,3.0,825.0,Отказ
IN27705,2018-03-02,CL00704,Подольск,192785,P0076,2.5,937.5,Отказ
IN39083,2018-03-02,CL01008,Королёв,109587,P0115,1.5,562.5,Отказ
IN12844,2018-03-02,CL00199,Королёв,118894,P0044,1.0,275.0,Завершен
IN46170,2018-03-02,CL01182,Королёв,120315,P0007,5.0,1375.0,Завершен
IN84798,2018-03-02,CL00552,Королёв,169758,P0101,2.5,937.5,Завершен
IN85534,2018-03-03,CL00753,Москва,155923,P0025,3.0,825.0,Завершен
IN17329,2018-03-03,CL00793,Люберцы,134226,P0017,2.0,550.0,Отказ
IN66925,2018-03-03,CL00476,Москва,174443,P0089,5.0,1875.0,Завершен
IN25799,2018-03-03,CL00663,Реутов,164843,P0114,2.0,750.0,Завершен
IN95561,2018-03-03,CL00821,Люберцы,101620,P0105,5.0,1875.0,Завершен
IN11498,2018-03-03,CL00495,Химки,178094,P0024,5.0,1375.0,Завершен
IN60133,2018-03-03,CL00962,Красногорск,113432,P0036,3.0,825.0,Завершен
IN90739,2018-03-04,CL01108,Москва,155466,P0076,2.5,937.5,Завершен
IN41760,2018-03-04,CL00021,Мытищи,195448,P0038,3.0,825.0,Завершен
IN66369,2018-03-04,CL01049,Королёв,153840,P0007,0.5,137.5,Завершен
IN85499,2018-03-04,CL00434,Реутов,152505,P0048,1.5,412.5,Завершен
IN64209,2018-03-04,CL01058,Реутов,163192,P0087,0.5,187.5,Завершен
IN21247,2018-03-05,CL00498,Подольск,168202,P0031,1.5,412.5,Завершен
IN41856,2018-03-05,CL00374,Подольск,165211,P0005,0.5,137.5,Завершен
IN47707,2018-03-05,CL00302,Мытищи,125415,P0016,2.5,687.5,Завершен
IN24585,2018-03-05,CL00180,Химки,117172,P0094,0.5,187.5,Завершен
IN12981,2018-03-05,CL00953,Химки,181810,P0029,1.5,412.5,Завершен
IN80517,2018-03-05,CL00946,Реутов,163298,P0050,1.5,412.5,Завершен
IN78585,2018-03-05,CL00839,Химки,160846,P0118,1.0,375.0,Завершен
IN73311,2018-03-05,CL00035,Мытищи,188501,P0077,5.0,1875.0,Завершен
IN28526,2018-03-05,CL00908,Москва,186947,P0067,2.5,937.5,Завершен
IN12410,2018-03-05,CL00873,Москва,135851,P0032,3.0,825.0,Завершен
IN96969,2018-03-05,CL00747,Химки,148790,P0053,2.0,750.0,Завершен
IN32324,2018-03-05,CL00011,Люберцы,188039,P0006,2.5,687.5,Отказ
IN90997,2018-03-05,CL00722,Химки,177554,P0116,0.5,187.5,Завершен
IN95820,2018-03-05,CL00969,Подольск,196348,P0005,1.5,412.5,Отказ
IN42426,2018-03-06,CL01131,Мытищи,137555,P0025,3.0,825.0,Отказ
IN74216,2018-03-06,CL00246,Химки,172641,P0072,2.5,937.5,Завершен
IN12408,2018-03-06,CL00811,Мытищи,170968,P0069,2.0,750.0,Завершен
IN56580,2018-03-06,CL00577,Мытищи,120214,P0058,1.5,562.5,Завершен
