sale_id,date,client_id,city,zip_code,product_id,meters,total_amount,status
VK94115,2018-03-01,CL00102,Реутов,176556,P0015,0.5,137.5,Отказ
VK74213,2018-03-01,CL01028,Подольск,174162,P0108,5.0,1875.0,Завершен
VK87371,2018-03-01,CL00585,Подольск,122216,P0092,2.5,937.5,Завершен
VK38930,2018-03-01,CL00034,Москва,110500,P0089,1.5,562.5,Отказ
VK11715,2018-03-01,CL00946,Реутов,163298,P0047,2.5,687.5,Завершен
VK20480,2018-03-01,CL01097,Красногорск,123394,P0061,1.0,375.0,Завершен
VK17956,2018-03-01,CL00583,Красногорск,101617,P0051,2.0,750.0,Завершен
VK64519,2018-03-01,CL00524,Реутов,141777,P0058,1.5,562.5,Завершен
VK17641,2018-03-01,CL00124,Мытищи,144725,P0032,5.0,1375.0,Завершен
VK79339,2018-03-01,CL00836,Подольск,168719,P0012,5.0,1375.0,Завершен
VK49833,2018-03-01,CL00138,Химки,176225,P0084,0.5,187.5,Завершен
VK78089,2018-03-01,CL00662,Мытищи,152129,P0078,0.5,187.5,Завершен
VK62632,2018-03-02,CL00245,Москва,131925,P0042,5.0,1375.0,Завершен
VK30732,2018-03-02,CL00611,Красногорск,163277,P0037,2.5,687.5,Завершен
VK68066,2018-03-02,CL00899,Москва,127222,P0113,2.5,937.5,Завершен
VK82100,2018-03-02,CL00565,Люберцы,109744,P0116,1.5,562.5,Завершен
VK64046,2018-03-02,CL00488,Люберцы,190802,P0080,1.5,562.5,Завершен
VK52395,2018-03-02,CL00639,Реутов,154477,P0119,5.0,1875.0,Завершен
VK81516,2018-03-02,CL01169,Мытищи,119148,P0086,2.5,937.5,Завершен
VK82120,2018-03-02,CL00616,Красногорск,abcde,P0044,1.0,275.0,Завершен
VK69297,2018-03-02,CL00787,Королёв,127483,P0022,3.0,825.0,Завершен
VK10025,2018-03-02,CL00664,Красногорск,144270,P0082,2.0,750.0,Завершен
VK14946,2018-03-03,CL00635,Подольск,118388,P0053,2.5,937.5,Завершен
VK28141,2018-03-03,CL00577,Мытищи,120214,P0046,2.0,550.0,Завершен
VK86304,2018-03-03,CL00198,Мытищи,157711,P0052,1.5,562.5,Завершен
VK49361,2018-03-03,CL00832,Красногорск,154627,P0046,1.0,275.0,Завершен
VK84588,2018-03-03,CL00176,Москва,141224,P0092,0.5,187.5,Завершен
VK52558,2018-03-03,CL00452,Реутов,180147,P0043,1.0,275.0,Завершен
